Time,X_Index,Y_Index,Concentration
0.08100,25,13,0.06429
0.08100,25,14,0.07222
0.08100,25,15,0.08083
0.08100,25,16,0.09016
0.08100,25,17,0.10025
0.08100,25,18,0.11117
0.08100,25,19,0.12294
0.08100,25,20,0.13562
0.08100,25,21,0.14926
0.08100,25,22,0.16388
0.08100,25,23,0.17954
0.08100,25,24,0.19625
0.08100,25,25,0.21407
0.08100,25,26,0.23300
0.08100,25,27,0.25309
0.08100,25,28,0.27433
0.08100,25,29,0.29676
0.08100,25,30,0.32038
0.08100,25,31,0.34519
0.08100,25,32,0.37118
0.08100,25,33,0.39836
0.08100,25,34,0.42669
0.08100,25,35,0.45616
0.08100,25,36,0.48675
0.08100,25,37,0.51841
0.08100,25,38,0.55109
0.08100,25,39,0.58476
0.08100,25,40,0.61936
0.08100,25,41,0.65481
0.08100,25,42,0.69107
0.08100,25,43,0.72804
0.08100,25,44,0.76566
0.08100,25,45,0.80384
0.08100,25,46,0.84250
0.08100,25,47,0.88153
0.08100,25,48,0.92086
0.08100,25,49,0.96038
0.08100,25,50,1.00000
0.09000,25,0,0.00000
0.09000,25,1,0.00469
0.09000,25,2,0.00943
0.09000,25,3,0.01426
0.09000,25,4,0.01923
0.09000,25,5,0.02439
0.09000,25,6,0.02979
0.09000,25,7,0.03548
0.09000,25,8,0.04149
0.09000,25,9,0.04789
0.09000,25,10,0.05471
0.09000,25,11,0.06201
0.09000,25,12,0.06982
0.09000,25,13,0.07820
0.09000,25,14,0.08719
0.09000,25,15,0.09684
0.09000,25,16,0.10719
0.09000,25,17,0.11828
0.09000,25,18,0.13016
0.09000,25,19,0.14286
0.09000,25,20,0.15642
0.09000,25,21,0.17088
0.09000,25,22,0.18627
0.09000,25,23,0.20262
0.09000,25,24,0.21995
0.09000,25,25,0.23830
0.09000,25,26,0.25767
0.09000,25,27,0.27810
0.09000,25,28,0.29958
0.09000,25,29,0.32212
0.09000,25,30,0.34574
0.09000,25,31,0.37042
0.09000,25,32,0.39616
0.09000,25,33,0.42294
0.09000,25,34,0.45075
0.09000,25,35,0.47956
0.09000,25,36,0.50934
0.09000,25,37,0.54006
0.09000,25,38,0.57168
0.09000,25,39,0.60415
0.09000,25,40,0.63742
0.09000,25,41,0.67144
0.09000,25,42,0.70615
0.09000,25,43,0.74147
0.09000,25,44,0.77735
0.09000,25,45,0.81371
0.09000,25,46,0.85047
0.09000,25,47,0.88756
0.09000,25,48,0.92490
0.09000,25,49,0.96241
0.09000,25,50,1.00000
0.09900,25,0,0.00000
0.09900,25,1,0.00575
0.09900,25,2,0.01155
0.09900,25,3,0.01745
0.09900,25,4,0.02348
0.09900,25,5,0.02970
0.09900,25,6,0.03616
0.09900,25,7,0.04289
0.09900,25,8,0.04996
0.09900,25,9,0.05739
0.09900,25,10,0.06524
0.09900,25,11,0.07355
0.09900,25,12,0.08237
0.09900,25,13,0.09173
0.09900,25,14,0.10169
0.09900,25,15,0.11227
0.09900,25,16,0.12353
0.09900,25,17,0.13549
0.09900,25,18,0.14819
0.09900,25,19,0.16167
0.09900,25,20,0.17596
0.09900,25,21,0.19110
0.09900,25,22,0.20709
0.09900,25,23,0.22398
0.09900,25,24,0.24178
0.09900,25,25,0.26051
0.09900,25,26,0.28018
0.09900,25,27,0.30081
0.09900,25,28,0.32240
0.09900,25,29,0.34496
0.09900,25,30,0.36848
0.09900,25,31,0.39295
0.09900,25,32,0.41838
0.09900,25,33,0.44473
0.09900,25,34,0.47200
0.09900,25,35,0.50016
0.09900,25,36,0.52917
0.09900,25,37,0.55902
0.09900,25,38,0.58966
0.09900,25,39,0.62104
0.09900,25,40,0.65313
0.09900,25,41,0.68586
0.09900,25,42,0.71920
0.09900,25,43,0.75308
0.09900,25,44,0.78744
0.09900,25,45,0.82221
0.09900,25,46,0.85734
0.09900,25,47,0.89276
0.09900,25,48,0.92838
0.09900,25,49,0.96416
0.09900,25,50,1.00000
0.10800,25,0,0.00000
0.10800,25,1,0.00680
0.10800,25,2,0.01364
0.10800,25,3,0.02057
0.10800,25,4,0.02764
0.10800,25,5,0.03489
0.10800,25,6,0.04236
0.10800,25,7,0.05011
0.10800,25,8,0.05817
0.10800,25,9,0.06659
0.10800,25,10,0.07541
0.10800,25,11,0.08467
0.10800,25,12,0.09442
0.10800,25,13,0.10469
0.10800,25,14,0.11551
0.10800,25,15,0.12694
0.10800,25,16,0.13899
0.10800,25,17,0.15172
0.10800,25,18,0.16514
0.10800,25,19,0.17929
0.10800,25,20,0.19420
0.10800,25,21,0.20989
0.10800,25,22,0.22638
0.10800,25,23,0.24369
0.10800,25,24,0.26185
0.10800,25,25,0.28085
0.10800,25,26,0.30073
0.10800,25,27,0.32147
0.10800,25,28,0.34309
0.10800,25,29,0.36558
0.10800,25,30,0.38895
0.10800,25,31,0.41318
0.10800,25,32,0.43826
0.10800,25,33,0.46418
0.10800,25,34,0.49092
0.10800,25,35,0.51845
0.10800,25,36,0.54674
0.10800,25,37,0.57577
0.10800,25,38,0.60551
0.10800,25,39,0.63590
0.10800,25,40,0.66692
0.10800,25,41,0.69851
0.10800,25,42,0.73064
0.10800,25,43,0.76323
0.10800,25,44,0.79625
0.10800,25,45,0.82964
0.10800,25,46,0.86334
0.10800,25,47,0.89728
0.10800,25,48,0.93142
0.10800,25,49,0.96568
0.10800,25,50,1.00000
0.11700,25,0,0.00000
0.11700,25,1,0.00780
0.11700,25,2,0.01564
0.11700,25,3,0.02357
0.11700,25,4,0.03163
0.11700,25,5,0.03987
