seed,ps,N,target_occupancy,max_steps_per_walker,occupied_pixels,occupancy,bbox_density,perimeter,perimeter_per_occupied,R_g,D_est,D_r,max_width,height,aspect_ratio,top_row_fraction,touches_top,endpoints,branchpoints,skeleton_length,branching_ratio
10,0.1,100,0.1,100000,1000,0.1,0.2612330198537095,873,0.873,38.738688671662594,1.5687517618749671,0.9999822035113589,58,66,0.8787878787878788,0.0,0,199,190,708,0.9547738693467337
11,0.1,100,0.1,100000,1000,0.1,0.30303030303030304,862,0.862,36.84143048254234,1.68282473615834,0.9997786585473967,50,66,0.7575757575757576,0.0,0,198,187,670,0.9444444444444444
12,0.1,100,0.1,100000,1000,0.1,0.26504108136761195,862,0.862,44.26023045579406,1.5902861228209106,0.9999061232148869,49,77,0.6363636363636364,0.0,0,201,160,655,0.7960199004975125
13,0.1,100,0.1,100000,1000,0.1,0.2840909090909091,869,0.869,36.79224102986933,1.693511561554624,0.9999998448683689,55,64,0.859375,0.0,0,192,193,679,1.0052083333333333
14,0.1,100,0.1,100000,1000,0.1,0.33967391304347827,842,0.842,34.95032188692974,1.7018610930255047,0.9999290944959166,46,64,0.71875,0.0,0,192,195,705,1.015625
15,0.1,100,0.1,100000,1000,0.1,0.25329280648429586,849,0.849,48.63548087559123,1.7144216494019369,0.9998873761799474,47,84,0.5595238095238095,0.0,0,201,138,646,0.6865671641791045
16,0.1,100,0.1,100000,1000,0.1,0.29779630732578916,832,0.832,40.1239454690089,1.5521683299073676,0.9996919917210565,46,73,0.6301369863013698,0.0,0,182,165,652,0.9065934065934066
17,0.1,100,0.1,100000,1000,0.1,0.27434842249657065,846,0.846,43.32101106853348,1.5687517618749671,0.9998349206501186,45,81,0.5555555555555556,0.0,0,189,184,652,0.9735449735449735
18,0.1,100,0.1,100000,1000,0.1,0.32299741602067183,858,0.858,48.613835479213115,1.5167115007687249,0.9997623749612294,36,86,0.4186046511627907,0.0,0,194,174,691,0.8969072164948454
19,0.1,100,0.1,100000,1000,0.1,0.2695417789757412,864,0.864,41.00479240283994,1.5849625007211565,0.9993433403265076,53,70,0.7571428571428571,0.0,0,191,204,688,1.068062827225131
20,0.1,100,0.1,100000,1000,0.1,0.2801120448179272,862,0.862,41.15254548627581,1.5490160414802634,0.9997731084689632,51,70,0.7285714285714285,0.0,0,189,158,662,0.8359788359788359
21,0.1,100,0.1,100000,1000,0.1,0.31675641431738993,852,0.852,46.83774119233335,1.751250170264592,0.9998289826232787,41,77,0.5324675324675324,0.0,0,188,163,635,0.8670212765957447
22,0.1,100,0.1,100000,1000,0.1,0.26343519494204426,867,0.867,41.117623958589824,1.5209100878473132,0.999023202174211,52,73,0.7123287671232876,0.0,0,181,204,692,1.12707182320442
23,0.1,100,0.1,100000,1000,0.1,0.3129890453834116,873,0.873,41.38548054571796,1.671196098723539,0.9998368966360985,45,71,0.6338028169014085,0.0,0,207,150,654,0.7246376811594203
24,0.1,100,0.1,100000,1000,0.1,0.31525851197982346,854,0.854,36.13660194318221,1.6664916416981788,0.9999947205947626,52,61,0.8524590163934426,0.0,0,191,179,683,0.93717277486911
0,0.05,100,0.1,100000,1000,0.1,0.303951367781155,841,0.841,38.10129919044756,1.584962500721156,0.9996714433008147,47,70,0.6714285714285714,0.0,0,165,246,722,1.490909090909091
1,0.05,100,0.1,100000,1000,0.1,0.3494060097833683,829,0.829,33.52934535597139,1.584962500721156,0.9996714433008147,53,54,0.9814814814814815,0.0,0,171,230,723,1.345029239766082
2,0.05,100,0.1,100000,1000,0.1,0.30432136335970783,831,0.831,36.51807771501671,1.660964047443681,0.9999997581159489,53,62,0.8548387096774194,0.0,0,159,228,695,1.4339622641509433
3,0.05,100,0.1,100000,1000,0.1,0.32393909944930355,830,0.83,35.183476235301136,1.6326722832604976,0.999045277146713,49,63,0.7777777777777778,0.0,0,172,194,685,1.127906976744186
4,0.05,100,0.1,100000,1000,0.1,0.3527336860670194,848,0.848,36.05108874916262,1.6728874184208653,0.9998605388211765,45,63,0.7142857142857143,0.0,0,170,211,701,1.2411764705882353
5,0.05,100,0.1,100000,1000,0.1,0.3225806451612903,829,0.829,36.65314447629289,1.615148809710897,0.9999417889048088,50,62,0.8064516129032258,0.0,0,179,218,691,1.217877094972067
6,0.05,100,0.1,100000,1000,0.1,0.2875215641173088,843,0.843,37.35259027162641,1.7075187496394215,0.9999971354024868,47,74,0.6351351351351351,0.0,0,158,179,676,1.1329113924050633
7,0.05,100,0.1,100000,1000,0.1,0.319693094629156,855,0.855,37.4274898971331,1.5963225389711977,0.9990863084342579,46,68,0.6764705882352942,0.0,0,158,200,685,1.2658227848101267
8,0.05,100,0.1,100000,1000,0.1,0.28735632183908044,839,0.839,38.123195039240876,1.6326722832604976,0.9999921795332991,58,60,0.9666666666666667,0.0,0,175,221,699,1.262857142857143
9,0.05,100,0.1,100000,1000,0.1,0.3306878306878307,854,0.854,41.331646470954915,1.5741959199463356,0.998300652089491,42,72,0.5833333333333334,0.0,0,197,164,672,0.8324873096446701
10,0.05,100,0.1,100000,1000,0.1,0.3831417624521073,843,0.843,33.13261233286624,1.7116057153622721,0.999999929610068,45,58,0.7758620689655172,0.0,0,180,206,696,1.1444444444444444
11,0.05,100,0.1,100000,1000,0.1,0.3546099290780142,837,0.837,34.091333209483025,1.6787760023090417,0.999799818727711,47,60,0.7833333333333333,0.0,0,173,234,693,1.3526011560693643
12,0.05,100,0.1,100000,1000,0.1,0.32051282051282054,813,0.813,34.46444544744627,1.609211759566751,0.9999621562086282,48,65,0.7384615384615385,0.0,0,156,205,679,1.314102564102564
13,0.05,100,0.1,100000,1000,0.1,0.3459010722933241,834,0.834,32.68649568246801,1.584962500721156,0.9986196649326556,49,59,0.8305084745762712,0.0,0,164,210,680,1.2804878048780488
14,0.05,100,0.1,100000,1000,0.1,0.36075036075036077,842,0.842,37.00841796132334,1.6787760023090417,0.999799818727711,44,63,0.6984126984126984,0.0,0,164,198,696,1.2073170731707317
15,0.05,100,0.1,100000,1000,0.1,0.29146021568055963,830,0.83,42.77034019037024,1.5675797916408178,0.9998094866035045,47,73,0.6438356164383562,0.0,0,165,213,673,1.290909090909091
16,0.05,100,0.1,100000,1000,0.1,0.31017369727047145,845,0.845,36.271559106274985,1.5963225389711977,0.9999666332337919,52,62,0.8387096774193549,0.0,0,179,190,680,1.0614525139664805
17,0.05,100,0.1,100000,1000,0.1,0.3604902667627974,852,0.852,41.643042636195545,1.6210373935990736,0.9999174686371555,38,73,0.5205479452054794,0.0,0,166,261,740,1.572289156626506
18,0.05,100,0.1,100000,1000,0.1,0.2972651605231867,839,0.839,35.8779179997948,1.615148809710897,0.9999417889048088,58,58,1.0,0.0,0,158,244,734,1.5443037974683544
19,0.05,100,0.1,100000,1000,0.1,0.30637254901960786,838,0.838,36.02235417070905,1.6549276312933938,0.9997022443376797,48,68,0.7058823529411765,0.0,0,183,208,705,1.1366120218579234
20,0.05,100,0.1,100000,1000,0.1,0.322061191626409,802,0.802,37.07318437900904,1.615148809710897,0.9998875153372,45,69,0.6521739130434783,0.0,0,174,233,688,1.339080459770115
21,0.05,100,0.1,100000,1000,0.1,0.3487966515521451,840,0.84,33.37266845788631,1.7297158093186489,0.999484287222335,47,61,0.7704918032786885,0.0,0,185,214,684,1.1567567567567567
22,0.05,100,0.1,100000,1000,0.1,0.32530904359141183,831,0.831,32.33491920509467,1.5734206941646356,0.9999636926208407,53,58,0.9137931034482759,0.0,0,182,214,683,1.1758241758241759
23,0.05,100,0.1,100000,1000,0.1,0.39401103230890466,854,0.854,33.45774947601826,1.6488402743203425,0.9997499492277679,47,54,0.8703703703703703,0.0,0,188,238,741,1.2659574468085106
24,0.05,100,0.1,100000,1000,0.1,0.3045994517209869,832,0.832,35.577956658582856,1.5616912077526413,0.9995222334311564,49,67,0.7313432835820896,0.0,0,182,196,681,1.0769230769230769
