seed,ita,N,steps,stop_threshold,debug,omega,parallel,occupied_pixels,occupancy,bbox_density,perimeter,perimeter_per_occupied,R_g,D_est,D_r,max_width,height,aspect_ratio,top_row_fraction,touches_top,endpoints,branchpoints,skeleton_length,branching_ratio
20,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.26852846401718583,7653,0.8503333333333334,105.20143112672523,1.6961587113893801,0.9997212896271258,196,171,1.1461988304093567,0.0,0,1676,1226,5703,0.7315035799522673
21,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.2767357481089724,7700,0.8555555555555555,114.39546319675445,1.7097694457568922,0.9999427220499626,161,202,0.7970297029702971,0.0,0,1675,1236,5712,0.7379104477611941
22,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.2546689303904924,7711,0.8567777777777777,113.26577839557523,1.76525735834939,0.9999806640811599,190,186,1.021505376344086,0.0,0,1697,1294,5753,0.7625220978196818
23,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.2764127764127764,7661,0.8512222222222222,121.4565738580392,1.5714789769210216,0.998352364858021,148,220,0.6727272727272727,0.0,0,1688,1331,5819,0.7885071090047393
24,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.24005121092499734,7658,0.8508888888888889,110.5714374410398,1.7097694457568922,0.9999908094589784,182,206,0.883495145631068,0.0,0,1692,1276,5757,0.7541371158392435
0,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.17751479289940827,8051,0.8945555555555555,166.68109270900123,1.6185195986504248,0.9987469242675009,169,300,0.5633333333333334,0.39666666666666667,1,1835,1087,5811,0.5923705722070844
1,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.16084640955070237,7958,0.8842222222222222,157.08904870239115,1.579599297424627,0.9994081425519106,202,277,0.7292418772563177,0.0,0,1829,999,5645,0.5462001093493712
2,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.1722488038277512,7983,0.887,154.12028203105953,1.7617809780285072,0.9999937270220272,190,275,0.6909090909090909,0.0,0,1857,1079,5743,0.5810446957458266
3,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.22097277124407672,8017,0.8907777777777778,140.96654725304313,1.7459265481648376,0.9997937469060727,169,241,0.7012448132780082,0.0,0,1872,1005,5689,0.5368589743589743
4,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.20109035660023236,8017,0.8907777777777778,147.25442985224964,1.6609640474436813,0.9999422713434449,167,268,0.6231343283582089,0.0,0,1863,1123,5748,0.6027911969940956
