ita,seed,R_g,D_est,D_r,occupancy,perimeter,endpoints,branchpoints,skeleton_length
2.0,18,3.3511788970450382,1.7457824652410718,0.9883658721818411,0.5,33,3,11,23
2.0,19,3.38803778019077,1.668660431529537,0.9882776066820556,0.5,31,3,4,15
3.0,0,3.2946623499229784,1.748459184309208,0.9724448248806226,0.5,31,3,4,18
3.0,1,3.340658617698013,1.6767382727669606,0.9870231795032482,0.5,30,3,4,15
3.0,2,3.3207830401879614,1.7084569925051345,0.9902611011286891,0.5,30,3,4,18
3.0,3,3.389631248380862,1.7126322218201488,0.9870102478169434,0.5,30,3,3,15
3.0,4,3.380709984603826,1.6982770136513918,0.9941949840752718,0.5,32,2,9,20
3.0,5,3.27255252058695,1.7781000399637965,0.985700634278517,0.5,30,3,4,17
3.0,6,3.3231912373500263,1.709911511150349,0.9879819035698667,0.5,30,2,4,16
3.0,7,3.3294443980940724,1.7111062569476125,0.9855677372511382,0.5,31,3,3,14
3.0,8,3.3960565366318622,1.6841782809647834,0.9787334210038845,0.5,31,4,5,16
3.0,9,3.402469691268388,1.6264253019885995,0.994870398886979,0.5,31,3,3,15
3.0,10,3.3837848631377265,1.8580379065719392,0.9773244632501557,0.5,36,2,9,19
3.0,11,3.2781702213277457,1.847342450922769,0.9843796757783952,0.5,29,3,3,16
3.0,12,3.2791462303471617,1.7271178196342671,0.9861876966081444,0.5,32,2,8,19
3.0,13,3.440523216023982,1.7593842623009368,0.9958073658623116,0.5,32,4,9,19
3.0,14,3.391754708112012,1.7298305137677068,0.9852413077090019,0.5,30,4,8,19
3.0,15,3.3246353183469615,1.716173024611486,0.9871252723236041,0.5,30,3,3,14
3.0,16,3.416196715647388,1.676588511392121,0.9881935410275023,0.5,31,3,4,17
3.0,17,3.352610922848042,1.815782719209683,0.9878971164798701,0.5,32,3,9,17
3.0,18,3.4759171451575197,1.8519542281959758,0.9888412368832621,0.5,34,4,12,20
3.0,19,3.3203614261101158,1.7540198937432119,0.9822760614546518,0.5,31,3,9,19
5.0,0,3.3241540277189325,1.6806739312490426,0.98782427831457,0.5,28,3,1,15
5.0,1,3.374551822094306,1.6149767378395603,0.9908389464100624,0.5,30,3,4,17
5.0,2,3.3545789601677285,1.7091492691400287,0.9877104125853194,0.5,29,3,4,16
5.0,3,3.2979993935718057,1.7051789854776214,0.9828997385362512,0.5,27,3,4,16
5.0,4,3.3380832823642974,1.7477286454443632,0.9840817249543602,0.5,28,3,4,17
5.0,5,3.5318550366627446,1.8665992093151673,0.989754513842113,0.5,34,3,4,19
5.0,6,3.2893768406797053,1.702641770538571,0.9839347120029349,0.5,28,3,1,15
5.0,7,3.4119788979417796,1.6566888633509531,0.9954740167132421,0.5,32,3,3,16
5.0,8,3.373603414748094,1.6838012785206093,0.9869028582017829,0.5,30,3,4,16
5.0,9,3.3925211863745224,1.692696544879297,0.993632460679766,0.5,30,3,3,15
5.0,10,3.311374337038928,1.6922566720586556,0.9819489793593311,0.5,29,3,4,16
5.0,11,3.404291409383162,1.6874300889512366,0.9937470560688947,0.5,31,3,3,15
5.0,12,3.264169113266039,1.710234097736918,0.9824098707553675,0.5,27,3,1,15
5.0,13,3.35654584357193,1.8179404765209803,0.987393287246804,0.5,31,3,7,19
5.0,14,3.36,1.6903577913168455,0.9865687112796433,0.5,31,3,3,15
5.0,15,3.4322004603461025,1.6661599861748426,0.9867780628428815,0.5,30,3,3,16
5.0,16,3.3395808120181787,1.6859701449335978,0.9831668415363237,0.5,29,3,4,15
5.0,17,3.3595833074951424,1.6496183392227395,0.9933946384449501,0.5,30,3,3,15
5.0,18,3.3903982067008,1.7013352596050808,0.9746388887254874,0.5,32,4,7,18
5.0,19,3.3934643065752144,1.6890499462600321,0.9889359902754733,0.5,31,3,4,15
